Nom,end_date,start_date,latitude,longitude,Nom de référence,Note
Porte de Versailles,1931-03-27,1910-11-05,48.832639,2.291597,Porte de Versailles,Déplacé - coordonnées d'apres cartometro.com
Porte de Versailles,,1931-03-27,48.832328,2.287841,Porte de Versailles,Déplacé
Porte de Vincenne,,1900-07-19,48.84726571,2.408883525,Porte de Vincenne,
Porte des Lilas,,1921-11-27,48.877183,2.406655,Porte des Lilas,
Porte Dorée,,1931-05-05,48.83548144,2.406099737,Porte Dorée,
Porte Maillot,1937-04-27,1900-07-19,48.877366,2.287167,Porte Maillot,Déplacé - coordonnées d'apres cartometro.com
Porte Maillot,,1937-04-27,48.8779645,2.281836173,Porte Maillot,Déplacé
Pré-Saint-Gervais,,1911-01-18,48.8802502,2.398914099,Pré-Saint-Gervais,
Pyramides,,1916-07-01,48.8669463,2.333665066,Pyramides,
Pyrénées,,1935-04-28,48.87387501,2.385258973,Pyrénées,
Quai de la Gare,,1909-03-01,48.837069,2.372773,Quai de la Gare,
Quai de la Rapée,,1916-06-01,48.84653927,2.365826368,Quai de la Rapée,Renommé
Place Mazas,1907-10-15,1906-07-13,48.84653927,2.365826368,Quai de la Rapée,
Pont d'Austerlitz,1916-06-01,1907-10-15,48.84653927,2.365826368,Quai de la Rapée,Renommé
Quatre-Septembre,,1904-11-03,48.869574,2.336633,Quatre-Septembre,
Rambuteau,,1935-04-28,48.861951,2.353905,Rambuteau,
Ranelagh,,1922-11-08,48.85501987,2.269634306,Ranelagh,
Raspail,,1906-04-24,48.83919413,2.330606282,Raspail,
Rue Saint-Denis,1907-10-15,1904-11-19,48.86624629,2.352388501,Réaumur - Sébastopol,
Réaumur - Sébastopol,,1907-10-15,48.86624629,2.352388501,Réaumur - Sébastopol,Renommé
Rennes,1939-09-03,1910-11-05,48.84819314,2.32776314,Rennes,Fermée au début de la guerre
Rennes,,1968-05-20,48.84819314,2.32776314,Rennes,
République,,1904-10-19,48.867503,2.363811,République,
